method,prefList,pareto_solutions1,size1,pareto_solutions2,size2,time_taken_sec_1,time_taken_sec_2,timestamp
INVTTC vs BRUTE,"[(1, [2, 1, 3]), (2, [2, 3, 1]), (3, [1, 3, 2])]","[[2, 3, 1], [3, 2, 1], [1, 2, 3]]",3,"{(2, 3, 1), (3, 2, 1), (1, 2, 3)}",3,0.0235,0.0005,2025-11-22 23:08:53
INVTTC vs BRUTE,"[(1, [2, 3, 1]), (2, [3, 2, 1]), (3, [3, 1, 2])]","[[2, 3, 1], [1, 2, 3], [2, 1, 3]]",3,"{(2, 3, 1), (1, 2, 3), (2, 1, 3)}",3,0.0204,0.0005,2025-11-22 23:08:53
INVTTC vs BRUTE,"[(1, [2, 3, 1]), (2, [3, 1, 2]), (3, [2, 3, 1])]","[[1, 3, 2], [2, 3, 1], [2, 1, 3], [3, 1, 2]]",4,"{(2, 3, 1), (1, 3, 2), (2, 1, 3), (3, 1, 2)}",4,0.0203,0.0006,2025-11-22 23:08:53
INVTTC vs BRUTE,"[(1, [3, 1, 2]), (2, [1, 2, 3]), (3, [1, 2, 3])]","[[3, 1, 2], [3, 2, 1]]",2,"{(3, 2, 1), (3, 1, 2)}",2,0.0723,0.0006,2025-11-22 23:08:53
INVTTC vs BRUTE,"[(1, [2, 1, 3]), (2, [3, 2, 1]), (3, [3, 1, 2])]","[[2, 3, 1], [1, 2, 3], [2, 1, 3]]",3,"{(2, 3, 1), (1, 2, 3), (2, 1, 3)}",3,0.0216,0.0005,2025-11-22 23:08:53
INVTTC vs BRUTE,"[(1, [2, 1, 3]), (2, [3, 1, 2]), (3, [2, 1, 3])]","[[1, 3, 2], [2, 3, 1]]",2,"{(2, 3, 1), (1, 3, 2)}",2,0.0193,0.0004,2025-11-22 23:08:54
INVTTC vs BRUTE,"[(1, [3, 2, 1]), (2, [2, 3, 1]), (3, [2, 3, 1])]","[[1, 3, 2], [1, 2, 3], [3, 2, 1], [3, 1, 2]]",4,"{(3, 2, 1), (1, 3, 2), (1, 2, 3), (3, 1, 2)}",4,0.0179,0.0006,2025-11-22 23:08:54
INVTTC vs BRUTE,"[(1, [1, 3, 2]), (2, [2, 3, 1]), (3, [2, 3, 1])]","[[1, 3, 2], [1, 2, 3]]",2,"{(1, 3, 2), (1, 2, 3)}",2,0.0215,0.0007,2025-11-22 23:08:54
INVTTC vs BRUTE,"[(1, [1, 2, 3]), (2, [1, 3, 2]), (3, [1, 3, 2])]","[[1, 3, 2], [1, 2, 3], [2, 3, 1], [2, 1, 3]]",4,"{(2, 3, 1), (1, 3, 2), (1, 2, 3), (2, 1, 3)}",4,0.0193,0.0009,2025-11-22 23:08:54
INVTTC vs BRUTE,"[(1, [2, 1, 3]), (2, [3, 2, 1]), (3, [3, 1, 2])]","[[2, 3, 1], [1, 2, 3], [2, 1, 3]]",3,"{(2, 3, 1), (1, 2, 3), (2, 1, 3)}",3,0.0137,0.0005,2025-11-22 23:08:54
INVTTC vs BRUTE,"[(1, [3, 2, 4, 1]), (2, [1, 2, 3, 4]), (3, [3, 1, 4, 2]), (4, [2, 1, 3, 4])]","[[2, 1, 3, 4], [3, 1, 4, 2], [4, 1, 3, 2], [3, 4, 1, 2], [2, 4, 3, 1], [3, 2, 1, 4]]",6,"{(4, 1, 3, 2), (2, 4, 3, 1), (2, 1, 3, 4), (3, 2, 1, 4), (3, 1, 4, 2), (3, 4, 1, 2)}",6,0.0224,0.0011,2025-11-22 23:08:54
INVTTC vs BRUTE,"[(1, [1, 2, 3, 4]), (2, [1, 3, 2, 4]), (3, [3, 4, 1, 2]), (4, [3, 4, 2, 1])]","[[2, 1, 3, 4], [1, 2, 4, 3], [2, 1, 4, 3], [1, 3, 4, 2], [1, 3, 2, 4], [1, 2, 3, 4]]",6,"{(1, 3, 4, 2), (1, 3, 2, 4), (1, 2, 3, 4), (1, 2, 4, 3), (2, 1, 4, 3), (2, 1, 3, 4)}",6,0.0209,0.001,2025-11-22 23:08:54
INVTTC vs BRUTE,"[(1, [2, 3, 4, 1]), (2, [1, 2, 4, 3]), (3, [1, 4, 2, 3]), (4, [1, 3, 2, 4])]","[[2, 4, 1, 3], [2, 1, 4, 3], [2, 3, 4, 1], [4, 2, 1, 3], [3, 2, 4, 1], [2, 4, 3, 1], [3, 2, 1, 4]]",7,"{(2, 3, 4, 1), (4, 2, 1, 3), (2, 4, 1, 3), (3, 2, 4, 1), (2, 1, 4, 3), (2, 4, 3, 1), (3, 2, 1, 4)}",7,0.0219,0.0011,2025-11-22 23:08:54
INVTTC vs BRUTE,"[(1, [3, 1, 4, 2]), (2, [2, 3, 1, 4]), (3, [4, 1, 2, 3]), (4, [4, 1, 2, 3])]","[[3, 2, 1, 4], [3, 2, 4, 1]]",2,"{(3, 2, 4, 1), (3, 2, 1, 4)}",2,0.0233,0.0021,2025-11-22 23:08:54
INVTTC vs BRUTE,"[(1, [4, 3, 2, 1]), (2, [4, 3, 2, 1]), (3, [1, 3, 2, 4]), (4, [1, 2, 3, 4])]","[[4, 3, 1, 2], [3, 4, 2, 1], [4, 2, 3, 1], [2, 4, 3, 1], [3, 4, 1, 2], [4, 3, 2, 1]]",6,"{(4, 3, 1, 2), (3, 4, 2, 1), (2, 4, 3, 1), (4, 3, 2, 1), (4, 2, 3, 1), (3, 4, 1, 2)}",6,0.0255,0.0011,2025-11-22 23:08:54
INVTTC vs BRUTE,"[(1, [4, 1, 3, 2]), (2, [4, 2, 3, 1]), (3, [4, 2, 1, 3]), (4, [3, 1, 2, 4])]","[[1, 4, 2, 3], [1, 2, 4, 3], [4, 2, 1, 3], [4, 1, 2, 3], [4, 3, 2, 1]]",5,"{(1, 4, 2, 3), (4, 2, 1, 3), (1, 2, 4, 3), (4, 1, 2, 3), (4, 3, 2, 1)}",5,0.0209,0.0016,2025-11-22 23:08:54
INVTTC vs BRUTE,"[(1, [1, 2, 4, 3]), (2, [2, 3, 1, 4]), (3, [2, 3, 1, 4]), (4, [3, 1, 4, 2])]","[[1, 3, 2, 4], [1, 2, 4, 3], [1, 4, 2, 3], [4, 2, 1, 3], [1, 2, 3, 4], [4, 3, 2, 1], [4, 1, 2, 3], [4, 2, 3, 1]]",8,"{(1, 4, 2, 3), (4, 2, 1, 3), (1, 3, 2, 4), (1, 2, 3, 4), (1, 2, 4, 3), (4, 1, 2, 3), (4, 2, 3, 1), (4, 3, 2, 1)}",8,0.0203,0.001,2025-11-22 23:08:54
INVTTC vs BRUTE,"[(1, [4, 1, 2, 3]), (2, [1, 2, 3, 4]), (3, [3, 1, 4, 2]), (4, [2, 1, 3, 4])]","[[4, 1, 3, 2]]",1,"{(4, 1, 3, 2)}",1,0.0188,0.001,2025-11-22 23:08:54
INVTTC vs BRUTE,"[(1, [4, 1, 2, 3]), (2, [2, 1, 4, 3]), (3, [1, 3, 2, 4]), (4, [3, 1, 4, 2])]","[[4, 2, 1, 3]]",1,"{(4, 2, 1, 3)}",1,0.0198,0.0009,2025-11-22 23:08:54
INVTTC vs BRUTE,"[(1, [1, 3, 4, 2]), (2, [1, 4, 3, 2]), (3, [1, 2, 3, 4]), (4, [1, 4, 2, 3])]","[[2, 3, 1, 4], [1, 3, 2, 4], [1, 4, 2, 3], [3, 1, 2, 4], [3, 4, 2, 1], [3, 2, 1, 4], [3, 4, 1, 2], [1, 4, 3, 2]]",8,"{(1, 4, 2, 3), (1, 3, 2, 4), (2, 3, 1, 4), (3, 4, 2, 1), (3, 1, 2, 4), (1, 4, 3, 2), (3, 2, 1, 4), (3, 4, 1, 2)}",8,0.0203,0.0013,2025-11-22 23:08:55
INVTTC vs BRUTE,"[(1, [1, 3, 2, 5, 4]), (2, [1, 5, 3, 4, 2]), (3, [3, 4, 2, 1, 5]), (4, [5, 1, 2, 4, 3]), (5, [4, 2, 1, 3, 5])]","[[1, 4, 3, 5, 2], [1, 5, 3, 2, 4], [3, 1, 4, 5, 2], [2, 1, 3, 5, 4], [1, 2, 3, 5, 4], [3, 1, 2, 5, 4], [1, 3, 2, 5, 4], [1, 3, 4, 5, 2]]",8,"{(3, 1, 2, 5, 4), (3, 1, 4, 5, 2), (2, 1, 3, 5, 4), (1, 4, 3, 5, 2), (1, 2, 3, 5, 4), (1, 3, 2, 5, 4), (1, 3, 4, 5, 2), (1, 5, 3, 2, 4)}",8,0.0249,0.005,2025-11-22 23:08:55
INVTTC vs BRUTE,"[(1, [4, 3, 1, 5, 2]), (2, [3, 1, 2, 5, 4]), (3, [4, 3, 1, 2, 5]), (4, [2, 4, 5, 3, 1]), (5, [5, 2, 3, 4, 1])]","[[4, 3, 1, 2, 5], [3, 1, 4, 2, 5], [1, 3, 4, 2, 5], [4, 1, 3, 2, 5]]",4,"{(1, 3, 4, 2, 5), (3, 1, 4, 2, 5), (4, 1, 3, 2, 5), (4, 3, 1, 2, 5)}",4,0.0228,0.0046,2025-11-22 23:08:55
INVTTC vs BRUTE,"[(1, [2, 5, 3, 4, 1]), (2, [5, 2, 4, 3, 1]), (3, [4, 2, 1, 5, 3]), (4, [4, 2, 3, 5, 1]), (5, [1, 4, 5, 2, 3])]","[[2, 5, 4, 3, 1], [3, 5, 4, 2, 1], [2, 5, 3, 4, 1], [5, 3, 2, 4, 1], [3, 5, 2, 4, 1], [2, 3, 1, 4, 5], [2, 5, 1, 4, 3], [2, 3, 5, 4, 1], [5, 3, 4, 2, 1]]",9,"{(3, 5, 2, 4, 1), (5, 3, 4, 2, 1), (2, 5, 4, 3, 1), (2, 5, 1, 4, 3), (2, 3, 1, 4, 5), (2, 5, 3, 4, 1), (3, 5, 4, 2, 1), (5, 3, 2, 4, 1), (2, 3, 5, 4, 1)}",9,0.0238,0.0047,2025-11-22 23:08:55
INVTTC vs BRUTE,"[(1, [4, 5, 3, 2, 1]), (2, [4, 1, 5, 2, 3]), (3, [2, 1, 3, 4, 5]), (4, [1, 2, 5, 4, 3]), (5, [5, 3, 2, 4, 1])]","[[5, 4, 2, 1, 3], [4, 5, 2, 1, 3], [3, 4, 2, 1, 5], [4, 1, 2, 3, 5], [4, 3, 2, 1, 5], [4, 1, 2, 5, 3], [4, 2, 3, 1, 5], [4, 1, 3, 2, 5]]",8,"{(4, 1, 3, 2, 5), (3, 4, 2, 1, 5), (4, 1, 2, 3, 5), (4, 3, 2, 1, 5), (4, 2, 3, 1, 5), (4, 5, 2, 1, 3), (4, 1, 2, 5, 3), (5, 4, 2, 1, 3)}",8,0.0234,0.0061,2025-11-22 23:08:55
INVTTC vs BRUTE,"[(1, [1, 2, 3, 5, 4]), (2, [1, 2, 4, 5, 3]), (3, [2, 4, 5, 3, 1]), (4, [3, 1, 5, 4, 2]), (5, [5, 3, 4, 1, 2])]","[[1, 4, 2, 3, 5], [2, 1, 4, 3, 5], [1, 2, 4, 3, 5], [4, 1, 2, 3, 5], [3, 1, 2, 5, 4], [5, 1, 2, 3, 4], [3, 1, 2, 4, 5]]",7,"{(3, 1, 2, 5, 4), (4, 1, 2, 3, 5), (5, 1, 2, 3, 4), (3, 1, 2, 4, 5), (1, 2, 4, 3, 5), (1, 4, 2, 3, 5), (2, 1, 4, 3, 5)}",7,0.0241,0.0071,2025-11-22 23:08:55
INVTTC vs BRUTE,"[(1, [3, 1, 4, 5, 2]), (2, [1, 5, 4, 2, 3]), (3, [5, 4, 3, 2, 1]), (4, [2, 5, 3, 4, 1]), (5, [3, 5, 2, 1, 4])]","[[1, 4, 5, 2, 3], [1, 5, 4, 2, 3], [3, 1, 4, 2, 5], [3, 1, 5, 2, 4], [4, 1, 5, 2, 3], [3, 1, 5, 4, 2], [3, 4, 5, 2, 1]]",7,"{(1, 5, 4, 2, 3), (3, 1, 4, 2, 5), (3, 4, 5, 2, 1), (3, 1, 5, 4, 2), (4, 1, 5, 2, 3), (1, 4, 5, 2, 3), (3, 1, 5, 2, 4)}",7,0.0223,0.0049,2025-11-22 23:08:55
INVTTC vs BRUTE,"[(1, [3, 2, 5, 1, 4]), (2, [2, 4, 1, 5, 3]), (3, [2, 5, 4, 3, 1]), (4, [5, 2, 3, 1, 4]), (5, [1, 3, 2, 5, 4])]","[[3, 4, 2, 5, 1], [3, 2, 4, 5, 1], [4, 2, 5, 3, 1], [3, 2, 5, 4, 1], [3, 2, 5, 1, 4], [1, 2, 5, 3, 4]]",6,"{(4, 2, 5, 3, 1), (3, 2, 4, 5, 1), (3, 4, 2, 5, 1), (3, 2, 5, 1, 4), (1, 2, 5, 3, 4), (3, 2, 5, 4, 1)}",6,0.0231,0.0043,2025-11-22 23:08:55
INVTTC vs BRUTE,"[(1, [2, 1, 5, 3, 4]), (2, [5, 2, 3, 4, 1]), (3, [3, 2, 5, 1, 4]), (4, [2, 1, 3, 4, 5]), (5, [5, 3, 1, 4, 2])]","[[2, 4, 3, 1, 5], [1, 5, 4, 2, 3], [1, 3, 4, 2, 5], [1, 4, 3, 2, 5], [2, 5, 4, 1, 3], [1, 5, 3, 2, 4], [2, 5, 3, 4, 1], [4, 5, 3, 2, 1], [2, 5, 3, 1, 4], [4, 3, 1, 2, 5], [4, 5, 1, 2, 3], [2, 5, 1, 4, 3], [2, 3, 1, 4, 5], [2, 3, 4, 1, 5], [4, 2, 3, 1, 5], [1, 2, 3, 4, 5], [3, 2, 4, 1, 5], [1, 5, 2, 4, 3], [4, 5, 2, 1, 3], [1, 2, 4, 3, 5]]",20,"{(1, 5, 4, 2, 3), (2, 3, 1, 4, 5), (2, 5, 3, 4, 1), (4, 2, 3, 1, 5), (1, 5, 3, 2, 4), (2, 5, 1, 4, 3), (2, 4, 3, 1, 5), (1, 2, 3, 4, 5), (2, 5, 4, 1, 3), (4, 5, 1, 2, 3), (1, 4, 3, 2, 5), (4, 3, 1, 2, 5), (2, 5, 3, 1, 4), (2, 3, 4, 1, 5), (3, 2, 4, 1, 5), (4, 5, 3, 2, 1), (1, 3, 4, 2, 5), (1, 2, 4, 3, 5), (1, 5, 2, 4, 3), (4, 5, 2, 1, 3)}",20,0.0237,0.005,2025-11-22 23:08:55
INVTTC vs BRUTE,"[(1, [3, 4, 1, 5, 2]), (2, [3, 2, 5, 4, 1]), (3, [5, 4, 2, 1, 3]), (4, [1, 2, 3, 5, 4]), (5, [1, 4, 2, 3, 5])]","[[3, 2, 5, 1, 4], [3, 2, 4, 5, 1], [3, 5, 4, 2, 1], [5, 3, 2, 1, 4], [4, 3, 5, 2, 1], [2, 3, 5, 1, 4], [4, 3, 5, 1, 2], [3, 4, 5, 2, 1], [3, 2, 5, 4, 1]]",9,"{(4, 3, 5, 2, 1), (5, 3, 2, 1, 4), (3, 4, 5, 2, 1), (3, 2, 4, 5, 1), (4, 3, 5, 1, 2), (3, 5, 4, 2, 1), (3, 2, 5, 1, 4), (3, 2, 5, 4, 1), (2, 3, 5, 1, 4)}",9,0.0235,0.0076,2025-11-22 23:08:55
INVTTC vs BRUTE,"[(1, [2, 1, 4, 3, 5]), (2, [1, 3, 5, 4, 2]), (3, [3, 2, 1, 5, 4]), (4, [1, 5, 4, 2, 3]), (5, [5, 2, 1, 4, 3])]","[[2, 4, 3, 1, 5], [4, 1, 3, 5, 2], [2, 3, 4, 1, 5], [2, 1, 3, 4, 5], [2, 5, 3, 1, 4], [2, 1, 3, 5, 4], [4, 3, 2, 1, 5], [4, 5, 3, 1, 2], [2, 3, 5, 1, 4]]",9,"{(2, 1, 3, 5, 4), (2, 5, 3, 1, 4), (2, 3, 4, 1, 5), (2, 1, 3, 4, 5), (4, 1, 3, 5, 2), (4, 5, 3, 1, 2), (2, 4, 3, 1, 5), (4, 3, 2, 1, 5), (2, 3, 5, 1, 4)}",9,0.0223,0.0045,2025-11-22 23:08:55
